id,название,бренд,цена,скидка,наличие,рейтинг
164919386,Зарядка для ноутбука 19V 2.37A 45W штекер 4.0х1.35 мм,Asus,2431.0,909.0,11,5
47559398,Аккумулятор для ноутбука A32-K72 56Wh 5200mAh 10.8V,Asus,2534.0,1270.0,9,5
47546829,Аккумулятор A31N1519 для ноутбука 3350mAh,Asus,3565.0,1681.0,13,5
45126852,Зарядка для ноутбука 19V 2.37A 45W штекер 4.0х1.35 мм,Asus,1804.0,909.0,11,5
39268739,Аккумулятор для ноутбука A32-K53 5200mAh,Asus,2439.0,1222.0,8,5
47581575,Зарядка ADP-65JW C для ноутбука Type-C 65W 20V 3.25A,Asus,2270.0,1141.0,11,5
45082291,Зарядка для ноутбука 19V 3.42A 65W штекер 5.5x2.5,Asus,1387.0,703.0,13,5
204379725,Матрица для TUF Gaming FX705DT FHD IPS матовая,Asus,25250.0,8231.0,151,5
204381064,Матрица для TUF Gaming FX705D FHD IPS матовая,Asus,25250.0,8231.0,151,5
77519946,Аккумулятор A41-X550A для ноутбука 2600mAh 14.8V,Asus,2197.0,1042.0,14,5
164918547,Зарядка для ноутбука 19V 3.42A 65W разъем 5.5х2.5 мм,Asus,2122.0,907.0,11,5
245912268,Зарядка для ноутбука 19V 3.42A 65W разъем 5.5х2.5 мм,Asus,1916.0,631.0,11,5
47581590,"Зарядка для ноутбука 19V 1.75A 33W штекер 4х1,35 мм",Asus,1735.0,875.0,11,5
75615792,Дисплей с тачскрином для планшета Transformer 3 T305CA,Asus,6404.0,4532.0,24,5
331729097,"15.6"" TUF Gaming FA507NUR Ryzen 7 7435HS 16 512ГБ RTX 4050",Asus,108840.0,89378.0,130,5
44304547,Зарядка для ноутбука 19V 4.74A 90W штекер 5.5x2.5,Asus,1585.0,800.0,11,5
349855611,Ноутбук TUF Gaming F15 (FX507VV-LP192) 16 Гб +1 Тб,ASUS,144148.0,112304.0,13,5
43094330,Аккумулятор A41-X550A для ноутбука 2600mAh,Asus,2165.0,1085.0,7,5
47581599,"Блок питания 19V, 2.37A 45W 4.0x1.35мм разъём",Asus,1844.0,932.0,14,5
44142389,Аккумулятор A32-K55 для ноутбука 5200mAh 10.8V,Asus,2307.0,1156.0,8,5
77519951,Аккумулятор A32-K53 для ноутбука 5200mAh,Asus,2439.0,1229.0,15,5
164917989,Зарядное устройство для ноутбука 90w 19V 4.74A 5.5x2.5,Asus,1999.0,819.0,10,5
331729028,"15.6"" TUF Gaming FA507NVR Ryzen 7 7435HS 32 512ГБ RTX 4060",Asus,150627.0,112527.0,130,5
47581580,Зарядка для ноутбука 19V 3.42A 65W штекер 4.0x1.35,Asus,1672.0,844.0,12,5
47586214,Зарядка для ноутбука 19.5V 9.23A 180W разъем 5.5x2.5мм,Asus,3884.0,1948.0,14,5
207044348,Клавиатура для ноутбука X550C без рамки (черная),Asus,2000.0,585.0,18,5
214335668,Зарядка для ноутбука 1.75A 33W 19V 4.0x1.35мм,Asus,1807.0,927.0,11,5
